Artist,Song
A-Ha,Take On Me
Alanis Morrisette,You Oughta Know
Billy Idol,White Wedding
Billy Idol,Dancing With Myself
Billy Squire,Everybody Wants You
Blackstreet,No Diggity
Black Crows,Hard to Handle
Bon Jovi,Living on a Prayer
Bow Wow Wow,I Want Candy
Bruce Springsteen,I'm On Fire
Cheap Trick,I Want You to Want Me
Cindy Lauper,Girls Just Wanna Have Fun
The Clash,Should I Stay or Should I Go
The Cure,Just Like Heaven
The Cure,Friday I'm in Love
Deee-lite,Groove is in the heart
Duran Duran,Hungry Like the Wolf
Greorgia Satelites,Keep Your Hands to Yourself
Go-Go's,We Got the Beat
Green Day,When I Come Around
Green Day,Brain Stew
J. Geils Band,Love Stinks
Jane's Addiction,Stop
Jane's Addiction,Been Caught Steeling
Jay Z feat. Alicia Keys,Empire State of Mind
Jet,Are You Gonna Be My Girl?
Jimmy Eat World,The Middle
John Mellencamp,Hurts So Good
Journey,Don't Stop Believing
Journey,Any Way You Want It
The Killers,Mr. Brightside
The Knack,My Sharona
Lenny Kravitz,Are You Gonna Go My Way
Loverboy,Working for the Weekend
Marvin Gaye,Let's Get it On
Mary J. Blige,Family Affair
M.I.A.,Paper Planes
No Doubt,Hella Good
Outkast,Ms. Jackson
The Outfield,Your Love
Pat Benetar,Hit Me with Your Best Shot
Pink Floyd,Young Lust
The Pretenders,Brass In Pocket
Prince,Kiss
Radiohead,Creep
Rick Springfield,Jesse's Girl
The Roots,The Seed 2.0
Sublime,What I Got
The Toadies,Possum Kingdom
Violent Femmes ,Blister in the Sun
Weezer,Say It Aint So
Young MC,Bust a Move